# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	7560
#@/user_id	fedc3d7a-10a1-40a4-8722-dc6db483d2ef
a 	啊	c=15 d=1.74342 t=7560
dan shi 	但是	c=1 d=9.90387e-05 t=7560
dan wei 	單位	c=1 d=7.52398e-07 t=7560
dan yin hao 	單引號	c=1 d=4.84489e-05 t=7560
dang 	當	c=5 d=0.451581 t=7560
dang ge 	當個	c=2 d=0.246974 t=7560
dang nian 	當年	c=1 d=0.00166156 t=7560
dang shi 	當時	c=2 d=0.0942466 t=7560
dao 	到	c=28 d=3.2453 t=7560
dao chu 	導出	c=7 d=0.00837779 t=7560
dao ru 	導入	c=2 d=0.002767 t=7560
dao shi 	倒是	c=1 d=8.56707e-05 t=7560
dao ta 	刀塔	c=2 d=1.39885 t=7560
dao zhi 	導致	c=11 d=0.0532205 t=7560
de 	得	c=1 d=0.000134358 t=7560
de 	的	c=407 d=12.2318 t=7560
dei 	得	c=4 d=0.640822 t=7560
dei zhao ge 	得找個	c=1 d=2.1232e-05 t=7560
deng 	等	c=10 d=0.0431909 t=7560
deng deng 	等等	c=6 d=0.0012592 t=7560
deng hui 	等會	c=2 d=1.00011 t=3063
deng lu 	登錄	c=5 d=0.00575901 t=7560
deng shang 	登上	c=1 d=1 t=3886
deng shang qu 	登上去	c=1 d=9.78167e-06 t=7560
di 	地	c=1 d=1.2818e-09 t=7560
di ceng 	底層	c=12 d=0.112839 t=7560
di di 	弟弟	c=1 d=0.000133021 t=7560
di er 	第二	c=1 d=0.697676 t=7560
di er ci 	第二次	c=1 d=9.95351e-05 t=7560
di si ci 	第四次	c=1 d=0.687289 t=7560
di tan 	地毯	c=2 d=7.03704e-05 t=7560
di yi 	第一	c=2 d=0.22523 t=7560
di yu 	地域	c=1 d=0.0689068 t=7560
di zhi 	地址	c=19 d=1.06902 t=7560
dian 	點	c=6 d=0.839529 t=7560
dian chi 	電池	c=1 d=2.22706e-08 t=7560
dian nao 	電腦	c=6 d=0.985112 t=7560
dian shu 	點數	c=1 d=1.65383e-07 t=7560
diao 	掉	c=4 d=1.01115 t=2346
diao 	調	c=6 d=0.20509 t=7560
diao ba 	掉吧	c=1 d=1 t=391
diao diao 	調調	c=1 d=0.0105145 t=7560
diao du 	調度	c=6 d=0.0164903 t=7560
diao yan 	調研	c=2 d=3.3999e-07 t=7560
diao yong 	調用	c=5 d=0.0455024 t=7560
ding 	定	c=3 d=2.79526e-05 t=7560
ding dan 	訂單	c=2 d=1.01832 t=1385
ding de 	定的	c=1 d=0.0100518 t=7560
ding ge 	訂個	c=1 d=7.48773e-09 t=7560
ding shi 	定時	c=2 d=1.03239 t=1109
ding yi 	定義	c=1 d=5.35444e-05 t=7560
ding yi xia 	頂一下	c=1 d=7.35596e-06 t=7560
ding yue 	訂閱	c=2 d=0.000276317 t=7560
ding zhe 	盯着	c=1 d=1 t=3960
diu 	丟	c=1 d=0.172907 t=7560
diu le 	丟了	c=1 d=0.0222592 t=7560
dong 	動	c=1 d=0.00458484 t=7560
dong 	東	c=1 d=7.33697e-05 t=7560
dong li 	動力	c=3 d=7.26434e-05 t=7560
dong man 	動漫	c=1 d=1 t=894
dong zuo 	動作	c=1 d=0.0483156 t=7560
dou 	都	c=34 d=1.1667 t=7560
dou hui 	都會	c=1 d=1 t=3445
dou ke yi 	都可以	c=1 d=5.87585e-10 t=7560
dou shi 	都是	c=12 d=0.208177 t=7560
dou yao 	都要	c=1 d=0.000399619 t=7560
dou you 	都有	c=1 d=5.89106e-11 t=7560
dou yu 	鬥魚	c=4 d=0.937067 t=7560
dou zai 	都在	c=1 d=4.0169e-06 t=7560
dou zhi chi 	都支持	c=1 d=1 t=2697
du qu 	讀取	c=1 d=4.25645e-11 t=7560
du xie 	讀寫	c=3 d=0.00129503 t=7560
duan 	斷	c=1 d=1 t=2621
duan 	段	c=1 d=0.00052611 t=7560
duan 	短	c=1 d=1 t=169
duan diao 	斷掉	c=1 d=1 t=2805
duan kai 	斷開	c=1 d=1 t=2709
duan kou 	端口	c=6 d=7.01216e-06 t=7560
dui 	對	c=4 d=0.0185132 t=7560
dui a 	對啊	c=2 d=0.138069 t=7560
dui ba 	對把	c=1 d=1.12535e-07 t=7560
dui bi 	對比	c=1 d=0.00585769 t=7560
dui bu qi 	對不起	c=1 d=0.0177743 t=7560
dui ci 	對此	c=1 d=0.0236356 t=7560
dui de 	對的	c=3 d=0.00937227 t=7560
dui le 	對了	c=1 d=1 t=1576
dui lie 	隊列	c=1 d=0.055299 t=7560
dui wai 	對外	c=2 d=0.000639387 t=7560
dui xiang 	對象	c=2 d=2.06938e-05 t=7560
dui yi xia 	對一下	c=1 d=6.84327e-09 t=7560
dui ying 	對應	c=22 d=0.582748 t=7560
dui yu 	對於	c=2 d=7.07697e-07 t=7560
duo 	多	c=4 d=0.588564 t=7560
duo ci 	多次	c=1 d=1 t=2860
duo da 	多大	c=1 d=4.69037e-06 t=7560
duo ge 	多個	c=5 d=0.0464073 t=7560
duo hang 	多行	c=3 d=9.88566e-05 t=7560
duo hui 	多會	c=5 d=0.0270554 t=7560
duo jie dian 	多節點	c=1 d=1.34057e-07 t=7560
duo jiu 	多久	c=2 d=2.38813e-06 t=7560
duo le 	多了	c=1 d=8.19149e-07 t=7560
duo shao 	多少	c=2 d=0.202909 t=7560
duo xie 	多謝	c=2 d=1.00054 t=2992
duo zhong 	多種	c=1 d=1.73863e-07 t=7560
ei 	誒	c=2 d=1.17108e-05 t=7560
en 	恩	c=51 d=2.44292 t=7560
er 	而	c=1 d=1.42715e-08 t=7560
er 	耳	c=1 d=3.61651e-06 t=7560
er ci 	二次	c=0 d=1.67017e-06 t=7560
er ci yuan 	二次元	c=1 d=1.67854e-05 t=7560
er ji 	耳機	c=1 d=5.70122e-08 t=7560
er mai 	耳麥	c=2 d=1.19924e-07 t=7560
er qie 	而且	c=2 d=0.27051 t=7560
er qu 	二區	c=1 d=1 t=2427
fa 	法	c=1 d=0.0916297 t=7560
fa 	發	c=13 d=0.588061 t=7560
fa dao 	發到	c=1 d=1 t=3647
fa de 	發的	c=1 d=0.249075 t=7560
fa gei 	發給	c=3 d=0.00175898 t=7560
fa guo lai 	發過來	c=1 d=0.00114769 t=7560
fa le 	發了	c=1 d=9.30462e-06 t=7560
fa ni 	發你	c=1 d=0.000102566 t=7560
fa qi 	發起	c=2 d=1.00263 t=2124
fa wo 	發我	c=1 d=2.83847e-09 t=7560
fa wo 	罰我	c=1 d=1 t=266
fa xia 	發下	c=1 d=1 t=2953
fa xia 	罰下	c=3 d=1.99006 t=2947
fa xian 	發現	c=1 d=0.995012 t=7560
fa yi xia 	發一下	c=1 d=3.21532e-05 t=7560
fan hua 	繁華	c=1 d=0.000127806 t=7560
fan hui 	返回	c=10 d=0.564454 t=7560
fan kui 	反饋	c=1 d=1.43085e-09 t=7560
fan wei 	範圍	c=2 d=1.94176 t=3547
fan yi 	翻譯	c=7 d=0.377215 t=7560
fan zheng 	反正	c=9 d=0.535523 t=7560
fang 	房	c=1 d=0.00400585 t=7560
fang 	放	c=3 d=1.6862e-05 t=7560
fang an 	方案	c=1 d=1 t=3366
fang bian 	方便	c=1 d=0.0605068 t=7560
fang dao 	放到	c=1 d=2.36477e-08 t=7560
fang fa 	方法	c=3 d=5.04262e-05 t=7560
fang hui 	放回	c=1 d=1 t=3581
fang jia 	放假	c=1 d=9.07643e-08 t=7560
fang jian 	房間	c=1 d=3.27236e-06 t=7560
fang mian 	方面	c=3 d=0.78817 t=7560
fang ming 	芳名	c=1 d=0.000876127 t=7560
fang rong 	芳容	c=1 d=3.10473e-05 t=7560
fang shi 	方式	c=8 d=0.00390201 t=7560
fang wen 	訪問	c=4 d=0.00120654 t=7560
fang zai 	放在	c=2 d=1.21762 t=1624
fang zu 	房租	c=1 d=5.13208e-06 t=7560
fei 	非	c=3 d=2.17988 t=2040
fei 	飛	c=7 d=0.00282979 t=7560
fei chang 	非常	c=1 d=1 t=2560
fen 	份	c=2 d=1.47515 t=7560
fen bu 	分佈	c=2 d=1.06995 t=2225
fen chu lai 	分出來	c=1 d=6.30083e-08 t=7560
fen ge 	分割	c=1 d=1 t=316
fen li 	分離	c=2 d=1.21707e-07 t=7560
fen pei 	分配	c=1 d=1.36765e-07 t=7560
fen pian 	分片	c=1 d=1 t=994
fen qu 	分區	c=1 d=1.77864e-10 t=7560
fen xi 	分析	c=4 d=0.932907 t=7560
fen ye 	分頁	c=3 d=2.89319 t=3302
fen zhi 	分支	c=42 d=24.562 t=7560
fen zhong 	分鐘	c=1 d=3.75503e-07 t=7560
feng 	風	c=1 d=9.12037e-06 t=7560
feng xian 	風險	c=1 d=1.1396e-08 t=7560
fou ze 	否則	c=2 d=1.2508e-06 t=7560
fu ben ji 	副本集	c=1 d=4.58796e-11 t=7560
fu dian 	浮點	c=1 d=2.77508e-08 t=7560
fu dian xing 	浮點型	c=1 d=3.06694e-08 t=7560
fu fei 	付費	c=3 d=0.873716 t=7560
fu gai 	覆蓋	c=2 d=2.17664e-07 t=7560
fu gu 	復古	c=1 d=1 t=900
fu jia 	附加	c=1 d=3.8794e-08 t=7560
fu jin 	附近	c=5 d=0.000432541 t=7560
fu wu 	服務	c=6 d=0.32825 t=7560
fu wu qi 	服務器	c=7 d=0.000364849 t=7560
fu xian 	復現	c=1 d=0.000100034 t=7560
fu yong 	復用	c=1 d=0.000109455 t=7560
fu zai 	負載	c=1 d=8.48616e-11 t=7560
fu ze 	負責	c=4 d=0.314543 t=7560
fu zhi 	複製	c=2 d=7.43743e-10 t=7560
